"","subID","condition","Hz","frontal","central","parietal","occipital","ln_Hz","ln_frontal","ln_central","ln_parietal","ln_occipital"
"624","oa11","ec",23.928,0.42408,0.167966666666667,0.11072,0.101133333333333,3.17504932132765,-0.857833162302586,-1.78398973196369,-2.20075078711278,-2.29131550073582
"625","oa11","ec",24.925,0.432,0.175133333333333,0.10616,0.100933333333333,3.2158713158479,-0.839329690738027,-1.74220769039881,-2.24280788895818,-2.29329504608695
"626","oa11","ec",25.922,0.39716,0.1329,0.08654,0.0993,3.25509202900118,-0.923416056816744,-2.01815831326294,-2.4471485441854,-2.30960970793101
"627","oa11","ec",26.919,0.384,0.1396,0.08808,0.0924666666666667,3.29283235698403,-0.95711272639441,-1.96897408865386,-2.42950978656771,-2.38090705976952
"628","oa11","ec",27.916,0.3336,0.138266666666667,0.07976,0.0834333333333333,3.32920000115491,-1.09781260849755,-1.97857109129487,-2.52873315332855,-2.48370736921252
"629","oa11","ec",28.913,0.34862,0.136733333333333,0.07652,0.0859666666666667,3.36429132096618,-1.05377277519542,-1.98972272201197,-2.57020313441009,-2.45379565476295
"630","oa11","ec",29.91,0.33546,0.116766666666667,0.06594,0.0789333333333333,3.39819287264186,-1.09225255471553,-2.14757763744681,-2.71901004133855,-2.5391516646404
"631","oa11","eo",0.997,289.439566666667,25.9773,33.0993,17.8317666666667,-0.00300450902029872,5.66794652450195,3.25722307974476,3.49951213412314,2.88098151090748
"632","oa11","eo",1.994,90.5343666666667,7.26626666666667,7.09588,5.812,0.690142671539647,4.50572952079518,1.98324263374029,1.95951433392855,1.75992474570804
"633","oa11","eo",2.991,22.3358333333333,3.90703333333333,3.13974,3.28196666666667,1.09560777964781,3.10619226475652,1.36277834773179,1.14413999394407,1.18844283620763
"634","oa11","eo",3.988,6.3323,2.0422,1.72374,2.00733333333333,1.38328985209959,1.8456635192919,0.7140276581393,0.544496348803253,0.696807141391432
"635","oa11","eo",4.985,2.652,0.9279,0.91342,1.12416666666667,1.6064334034138,0.975314072323616,-0.0748313106230035,-0.0905594822590018,0.117042020431664
"636","oa11","eo",5.982,1.31796666666667,0.678666666666667,0.7142,0.8166,1.78875496020776,0.276090144915782,-0.387625189979833,-0.336592243821789,-0.202605900096662
"637","oa11","eo",6.979,0.961966666666667,0.5982,0.64756,0.847833333333333,1.94290564003501,-0.0387754789514069,-0.51383013278629,-0.434543825608832,-0.165071203387427
"638","oa11","eo",7.976,0.877166666666667,0.660033333333333,0.67634,0.839333333333333,2.07643703265954,-0.131058262856413,-0.415464940186498,-0.391059370800563,-0.175147353045954
"639","oa11","eo",8.973,1.09263333333333,1.0367,0.98344,1.2285,2.19422006831592,0.0885906847818531,0.0360425913469293,-0.0166986496230515,0.205793912979097
